newspaper,teaser,date,url
Augsburger Allgemeine,"Erst schien der Wahlkampf öd, dann albern, zuletzt heftig. Zarte Gemüter fragen nach Inhalten, Demoskopen nach Stimmungen. Die Frage aber ist: Was sagt uns das alles?",18.09.2021,https://www.augsburger-allgemeine.de/politik/Kommentar-Vor-der-Wahl-sollte-man-vielleicht-doch-ein-bisschen-auf-die-Inhalte-schauen-id60581246.html
Die Zeit," Die Union reißt Negativrekorde, sie liegt in vielen Umfragen hinter der SPD. Natürlich trägt der Kandidat Verantwortung – doch hinter der Krise steckt viel mehr. ",06.09.2021,https://www.zeit.de/politik/deutschland/2021-09/krise-union-bundestagswahl-umfragen-armin-laschet
Die Zeit," Ein Bild, das in Erinnerung blieb: Während der Bundespräsident im Flutgebiet eine Rede hält, lacht der CDU-Kanzlerkandidat herzhaft. Nun verraten Umstehende, warum. ",31.12.2021,https://www.zeit.de/gesellschaft/zeitgeschehen/2021-12/armin-laschet-flutgebiet-lachen-cdu-kanzlerkandidat
Die Zeit," Ein Bild, das in Erinnerung blieb: Während der Bundespräsident im Flutgebiet eine Rede hält, lacht der CDU-Kanzlerkandidat herzhaft. Nun verraten Umstehende, warum. ",31.12.2021,https://www.zeit.de/gesellschaft/zeitgeschehen/2021-12/armin-laschet-flutgebiet-lachen-cdu-kanzlerkandidat#comments
Rheinische Post,"Düsseldorf 2021 war in NRW so einiges los. Viele neue Corona-Maßnahmen, das Hochwasser und ein lachender Armin Laschet beschäftigten in diesem Jahr die Menschen. Doch was ist eigentlich sonst so passiert? Ein Rückblick in Fotos.",31.12.2021,https://rp-online.de//nrw/panorama/jahresrueckblick-2021-in-nrw-das-komplette-jahr-in-bildern_aid-64492925
Süddeutsche Zeitung,"Bundespräsident im Katastrophengebiet: Steinmeier dankt den Einsatzkräften. Dass auch Ministerpräsident Laschet die Feuerwache in Erftstadt besucht, freut nicht alle.",17.07.2021,https://www.sueddeutsche.de/politik/erftstadt-hochwasser-blessem-armin-laschet-1.5354935
Tagesspiegel,Fotos des lachenden Armin Laschet im Flutgebiet in NRW trugen zur Wahlschlappe der Union bei. Nun berichten Medien über den Grund für die unpassende Heiterkeit. ,30.12.2021,https://www.tagesspiegel.de/politik/wendepunkt-im-bundestagswahlkampf-darum-soll-laschet-beim-besuch-im-flutgebiet-gelacht-haben/27937138.html
t3n, Elon Musk hatte bei seinem Treffen mit Armin Laschet einiges zu lachen. Der Auftritt in der Tesla-Gigafactory in Grünheide lieferte  kreativen Usern auf Twitter und Co. allerdings auch jede Menge Material. ,16.08.2021,https://t3n.de//news/memes-laschet-musk-gigafactory-tesla-1398236/
taz,"Obwohl das Thema Klima viel Aufmerksamkeit bekommt, wird es die Wahl wohl nicht entscheiden. Was ist da schiefgegangen?",24.09.2021,https://taz.de/Themen-vor-der-Bundestagswahl/!5801061/
taz,"Jede politische Ära hat die Bilder, die sie verdient. Heute liefert sie Selfies, in denen sich der narzisstische Kern der Parteienpolitik erneuert.",29.09.2021,https://taz.de/Selfie-von-Gruenen-und-FDP/!5800695/
taz,Der Bundestagswahlkampf? Historisch langweilig! Die Kanzlerkandidaten? Unfähig! Dieses anschwellende Gemosere geht völlig in die Irre.,03.08.2021,https://taz.de/Der-grosse-Wahlkampf-Irrtum/!5790806/
taz,"Die Umfragewerte für die CDU sind schlecht, die für ihren Kandidaten Laschet noch mieser. Jetzt versucht er die Stimmung zu drehen. Kann das gelingen?",16.08.2021,https://taz.de/Armin-Laschet-im-Wahlkampf/!5789667/
